Sat. Num,Sat. Name,Item #,Launch Date,Epoch Date,Epoch Time,SMA,eccentricity,inclination,RAAN,Arg. Perigee,True Anomaly,Period,Perigee Altitude,Apogee Altitude,Country,Purpose,Status
00353,THOR ABLESTAR D,124,1961-06-29,2018-11-20,21:49:44.812,6974.692,0.00166,66.5018,300.889,17.358,342.755,96.62,585.005,608.108,US,Unknown,Unknown,
00354,THOR ABLESTAR D,125,1961-06-29,2018-11-20,22:39:51.853,7457.180,0.01635,67.0644,198.140,79.170,14.059,106.81,957.150,1200.940,US,Unknown,Unknown,
00355,THOR ABLESTAR D,126,1961-06-29,2018-11-20,21:40:57.778,7517.531,0.02510,67.2246,260.723,0.669,57.614,108.11,950.686,1328.106,US,Unknown,Unknown,
00357,THOR ABLESTAR D,128,1961-06-29,2018-11-20,22:58:19.875,7259.306,0.00111,66.8107,322.633,345.894,14.215,102.59,873.095,889.247,US,Unknown,Unknown,
00369,FTV 3502,1,1962-08-23,2018-11-20,13:39:52.751,6996.210,0.00935,98.5222,180.152,45.550,314.572,97.06,552.671,683.479,US,Surv/Mil,Unknown,
00397,TIROS 6,1,1962-09-18,2018-11-21,13:25:36.172,6981.279,0.00050,58.3070,47.481,357.661,2.443,96.75,599.651,606.638,US,Earth Sci,Inactive,
00399,DELTA 1 DEB,3,1962-09-18,2018-11-20,15:48:34.092,6670.623,0.00108,58.3933,48.523,56.041,90.743,90.37,285.316,299.660,US,Unknown,Unknown,
00402,THOR ABLESTAR D,132,1961-06-29,2018-11-20,20:28:13.435,7136.630,0.00408,66.6618,136.610,195.358,164.752,100.00,729.352,787.639,US,Unknown,Unknown,
00403,THOR ABLESTAR D,133,1961-06-29,2018-11-21,12:50:28.809,7339.451,0.00273,66.8422,73.018,290.441,151.656,104.29,941.283,981.349,US,Unknown,Unknown,
00404,THOR ABLESTAR D,134,1961-06-29,2018-11-21,12:31:41.399,7678.623,0.05654,66.4694,129.493,210.614,149.478,111.61,866.361,1734.615,US,Unknown,Unknown,
00405,THOR ABLESTAR D,135,1961-06-29,2018-11-20,21:55:51.414,7393.056,0.00914,66.8913,133.410,277.566,198.258,105.44,947.363,1082.478,US,Unknown,Unknown,
00406,THOR ABLESTAR D,136,1961-06-29,2018-11-20,13:57:22.903,7389.574,0.01146,66.7811,14.029,82.408,38.101,105.36,926.758,1096.120,US,Unknown,Unknown,
00407,THOR ABLESTAR D,137,1961-06-29,2018-11-20,21:53:21.651,7116.276,0.00835,66.3251,249.520,323.447,104.212,99.57,678.729,797.554,US,Unknown,Unknown,
00408,THOR ABLESTAR D,138,1961-06-29,2018-11-21,3:50:30.264,7360.341,0.00721,66.7855,213.298,199.786,315.614,104.74,929.164,1035.248,US,Unknown,Unknown,
00409,THOR ABLESTAR D,140,1961-06-29,2018-11-20,9:17:10.596,7194.133,0.00675,66.7153,317.266,2.534,357.576,101.21,767.432,864.565,US,Unknown,Unknown,
00410,THOR ABLESTAR D,141,1961-06-29,2018-11-20,23:4:18.231,7355.943,0.00121,66.6916,174.903,6.839,97.245,104.64,968.886,986.730,US,Unknown,Unknown,
00414,THOR ABLESTAR D,146,1961-06-29,2018-11-20,10:9:29.415,7352.551,0.00469,66.4445,322.066,0.898,147.971,104.57,939.932,1008.900,US,Unknown,Unknown,
00416,THOR ABLESTAR D,148,1961-06-29,2018-11-20,21:54:52.281,7229.857,0.00812,66.5203,163.124,223.168,136.940,101.97,793.011,910.432,US,Unknown,Unknown,
00417,THOR ABLESTAR D,149,1961-06-29,2018-11-21,13:10:11.697,7213.472,0.00779,66.7461,91.065,288.841,71.269,101.62,779.144,891.529,US,Unknown,Unknown,
00420,THOR ABLESTAR D,152,1961-06-29,2018-11-20,23:0:1.029,7174.560,0.00841,66.8153,279.734,119.627,240.482,100.80,736.091,856.760,US,Unknown,Unknown,
00424,ALOUETTE 1,1,1962-09-29,2018-11-20,23:34:40.898,7380.881,0.00233,80.4653,111.241,168.356,329.711,105.18,985.526,1019.967,CA,Astronomy,Unknown,
00426,THOR AGENA B R/,2,1962-09-29,2018-11-20,22:29:48.046,7383.254,0.00182,80.4683,118.632,151.989,319.153,105.23,991.665,1018.573,US,Unknown,Unknown,
00446,ANNA 1B,1,1962-10-31,2018-11-21,9:21:2.857,7505.101,0.00703,50.1417,267.684,89.452,61.296,107.84,1074.234,1179.698,US,Navigation,Unknown,
00447,THOR ABLESTAR R,2,1962-10-31,2018-11-20,23:4:43.797,7491.011,0.00657,50.1280,143.118,189.204,329.602,107.54,1063.628,1162.125,US,Unknown,Unknown,
00461,THOR ABLESTAR D,154,1961-06-29,2018-11-21,5:36:46.243,7075.329,0.00446,67.5082,347.512,100.379,259.733,98.71,665.617,728.771,US,Unknown,Unknown,
00463,THOR ABLESTAR D,156,1961-06-29,2018-11-21,5:48:21.140,7127.165,0.00589,66.7721,261.468,200.192,159.918,99.80,707.069,790.991,US,Unknown,Unknown,
00465,THOR ABLESTAR D,158,1961-06-29,2018-11-20,18:18:38.944,7164.746,0.00436,66.3161,95.699,291.818,68.292,100.59,755.368,817.854,US,Unknown,Unknown,
00467,THOR ABLESTAR D,160,1961-06-29,2018-11-20,11:42:24.986,7454.658,0.02624,66.5590,355.267,204.999,155.105,106.76,880.913,1272.133,US,Unknown,Unknown,
00469,THOR ABLESTAR D,162,1961-06-29,2018-11-20,22:21:57.389,7174.848,0.00607,66.8338,155.468,118.116,241.993,100.80,753.166,840.259,US,Unknown,Unknown,
00470,THOR ABLESTAR D,163,1961-06-29,2018-11-20,22:40:5.693,7254.040,0.00715,66.2289,164.814,193.987,166.121,102.48,824.014,927.796,US,Unknown,Unknown,
00474,THOR ABLESTAR D,168,1961-06-29,2018-11-21,13:8:51.786,7014.805,0.00325,66.2469,15.830,250.154,218.972,97.45,613.858,659.483,US,Unknown,Unknown,
00475,THOR ABLESTAR D,169,1961-06-29,2018-11-20,21:26:54.063,7236.273,0.01548,66.2281,4.876,341.945,18.164,102.10,746.110,970.166,US,Unknown,Unknown,
00478,THOR ABLESTAR D,173,1961-06-29,2018-11-20,18:59:41.122,7080.799,0.00616,66.0714,112.236,244.039,116.072,98.83,659.047,746.281,US,Unknown,Unknown,
00479,THOR ABLESTAR D,174,1961-06-29,2018-11-20,22:8:15.497,6972.892,0.00126,66.6785,224.589,212.931,147.182,96.58,585.958,603.556,US,Unknown,Unknown,
